name,position,team,cost
Bart Verbruggen,GK,Brighton,4.5
Carl Rushworth,GK,Brighton,4.0
Jason Steele,GK,Brighton,4.2
Kjell Scherpen,GK,Brighton,4.0
Tom McGill,GK,Brighton,3.9
Adam Webster,DEF,Brighton,4.4
Charlie Tasker,DEF,Brighton,3.8
Diego Coppola,DEF,Brighton,4.2
Eiran Cashin,DEF,Brighton,4.0
Ferdi Kadioglu,DEF,Brighton,4.4
Freddie Simmonds,DEF,Brighton,4.0
Igor Julio,DEF,Brighton,4.5
Jacob Slater,DEF,Brighton,4.0
Jan Paul van Hecke,DEF,Brighton,4.4
Joel Veltman,DEF,Brighton,4.3
Lewis Dunk,DEF,Brighton,4.5
Maxim De Cuyper,DEF,Brighton,4.3
Olivier Boscagli,DEF,Brighton,4.2
Pervis Estupiñán Tenorio,DEF,Brighton,4.5
Tariq Lamptey,DEF,Brighton,4.4
Abdallah Sima,MID,Brighton,5.4
Adrian Mazilu,MID,Brighton,4.5
Andrew Moran,MID,Brighton,4.5
Brajan Gruda,MID,Brighton,5.4
Carlos Baleba,MID,Brighton,4.5
Diego Gomez,MID,Brighton,4.9
Georginio Rutter,MID,Brighton,5.6
Harry Howell,MID,Brighton,4.5
Jack Hinshelwood,MID,Brighton,5.1
James Milner,MID,Brighton,4.9
Jeremy Sarmiento Morante,MID,Brighton,4.9
Joe Knight,MID,Brighton,4.4
Julio Enciso Espínola,MID,Brighton,5.4
Kaoru Mitoma,MID,Brighton,6.1
Malick Yalcouyé,MID,Brighton,5.0
Mats Wieffer,MID,Brighton,4.9
Matt O'Riley,MID,Brighton,5.5
Nehemiah Oriola,MID,Brighton,4.5
Pascal Gross,MID,Brighton,5.5
Solly March,MID,Brighton,5.8
Tom Watson,MID,Brighton,4.8
Yankuba Minteh,MID,Brighton,5.6
Yasin Ayari,MID,Brighton,4.8
Charalampos Kostoulas,FWD,Brighton,4.8
Danny Welbeck,FWD,Brighton,6.1
Evan Ferguson,FWD,Brighton,5.5
Stefanos Tzimas,FWD,Brighton,5.2
Etienne Green,GK,Burnley,4.0
Martin Dubravka,GK,Burnley,4.0
Max Weiss,GK,Burnley,4.3
Václav Hladký,GK,Burnley,3.9
Axel Tuanzebe,DEF,Burnley,3.9
Bashir Humphreys,DEF,Burnley,3.9
Connor Roberts,DEF,Burnley,4.4
Hannes Delcroix,DEF,Burnley,3.8
Hjalmar Ekdal,DEF,Burnley,3.9
Joe Worrall,DEF,Burnley,3.8
Jordan Beyer,DEF,Burnley,3.9
Kyle Walker,DEF,Burnley,4.4
Lucas Pires,DEF,Burnley,3.8
Maxime Esteve,DEF,Burnley,3.9
Oliver Sonne,DEF,Burnley,3.8
Owen Dodgson,DEF,Burnley,4.0
Quilindschy Hartman,DEF,Burnley,4.0
Shurandy Sambo,DEF,Burnley,4.0
Aaron Ramsey,MID,Burnley,4.4
Darko Churlinov,MID,Burnley,4.9
Enock Agyei,MID,Burnley,4.7
Florentino,MID,Burnley,5.0
George Brierley,MID,Burnley,4.5
Hannibal Mejbri,MID,Burnley,4.7
Jacob Bruun Larsen,MID,Burnley,5.3
Jaidon Anthony,MID,Burnley,5.0
James Ward-Prowse,MID,Burnley,5.6
Jaydon Banel,MID,Burnley,4.5
Josh Cullen,MID,Burnley,4.9
Josh Laurent,MID,Burnley,4.8
Lesley Ugochukwu,MID,Burnley,5.0
Loum Tchaouna,MID,Burnley,4.9
Luca Koleosho,MID,Burnley,5.0
Manuel Benson Hedilazio,MID,Burnley,5.4
Marcus Edwards,MID,Burnley,4.7
Mike Trésor Ndayishimiye,MID,Burnley,4.4
Oliver Pimlott,MID,Burnley,4.5
Oluwaseun Adewumi,MID,Burnley,4.5
Armando Broja,FWD,Burnley,5.2
Ashley Barnes,FWD,Burnley,4.2
Lyle Foster,FWD,Burnley,4.9
Michael Obafemi,FWD,Burnley,4.4
Zeki Amdouni,FWD,Burnley,4.8
Zian Flemming,FWD,Burnley,5.3
Filip Jörgensen,GK,Chelsea,4.3
Gabriel Słonina,GK,Chelsea,3.9
Max Merrick,GK,Chelsea,4.0
Mike Penders,GK,Chelsea,4.0
Robert Sanchez,GK,Chelsea,4.9
Teddy Sharman-Lowe,GK,Chelsea,4.0
Aarón Anselmino,DEF,Chelsea,4.0
Benoit Badiashile,DEF,Chelsea,4.4
Jorrel Hato,DEF,Chelsea,4.6
Josh Acheampong,DEF,Chelsea,3.7
Levi Samuels Colwill,DEF,Chelsea,4.7
Malang Sarr,DEF,Chelsea,4.5
Malo Gusto,DEF,Chelsea,4.9
Marc Cucurella,DEF,Chelsea,6.1
Reece James,DEF,Chelsea,5.6
Tosin Adarabioyo,DEF,Chelsea,4.0
Trevoh Chalobah,DEF,Chelsea,5.8
Wesley Fofana,DEF,Chelsea,4.4
Alejandro Garnacho,MID,Chelsea,6.4
Andrey Santos,MID,Chelsea,4.5
Christopher Nkunku,MID,Chelsea,5.9
Cole Palmer,MID,Chelsea,10.6
Dário Luís Essugo,MID,Chelsea,4.3
Enzo Fernandez,MID,Chelsea,6.9
Estevao,MID,Chelsea,6.4
