name,name_cleaned,team,position,now_cost
Luke Shaw,Luke Shaw,Man Utd,DEF,4.5
Matthijs de Ligt,Matthijs de Ligt,Man Utd,DEF,4.9
Noussair Mazraoui,Noussair Mazraoui,Man Utd,DEF,4.9
Patrick Dorgu,Patrick Dorgu,Man Utd,DEF,4.3
Tyler Fredricson,Tyler Fredricson,Man Utd,DEF,3.8
Tyrell Malacia,Tyrell Malacia,Man Utd,DEF,3.8
Alex Murphy,Alex Murphy,Newcastle,DEF,3.8
Dan Burn,Dan Burn,Newcastle,DEF,5.0
Emil Krafth,Emil Krafth,Newcastle,DEF,4.3
Fabian Schär,Fabian Schar,Newcastle,DEF,5.2
Harrison Ashby,Harrison Ashby,Newcastle,DEF,3.9
Jamaal Lascelles,Jamaal Lascelles,Newcastle,DEF,4.3
Kieran Trippier,Kieran Trippier,Newcastle,DEF,4.9
Leo Shahar,Leo Shahar,Newcastle,DEF,4.0
Lewis Hall,Lewis Hall,Newcastle,DEF,5.3
Malick Thiaw,Malick Thiaw,Newcastle,DEF,5.0
Matt Targett,Matt Targett,Newcastle,DEF,4.0
Miodrag Pivaš,Miodrag Pivaš,Newcastle,DEF,3.8
Sven Botman,Sven Botman,Newcastle,DEF,4.9
Tino Livramento,Tino Livramento,Newcastle,DEF,4.9
David Mota Veiga Teixeira do Carmo,David Mota Veiga Teixeira do Carmo,Nott'm Forest,DEF,4.5
Felipe Rodrigues da Silva,Felipe Rodrigues da Silva,Nott'm Forest,DEF,4.3
Jair Paula da Cunha Filho,Jair Paula da Cunha Filho,Nott'm Forest,DEF,4.2
Luca Netz,Luca Netz,Nott'm Forest,DEF,4.5
Luis Eduardo Soares da Silva,Luis Eduardo Soares da Silva,Nott'm Forest,DEF,4.5
Murillo Costa dos Santos,Murillo dos Santos,Nott'm Forest,DEF,5.2
Neco Williams,Neco Williams,Nott'm Forest,DEF,4.7
Nicolò Savona,Nicolo Savona,Nott'm Forest,DEF,4.5
Nikola Milenković,Nikola Milenkovic,Nott'm Forest,DEF,5.1
Ola Aina,Ola Aina,Nott'm Forest,DEF,4.7
Oleksandr Zinchenko,Oleksandr Zinchenko,Nott'm Forest,DEF,4.9
Omar Richards,Omar Richards,Nott'm Forest,DEF,4.5
Willy Boly,Willy Boly,Nott'm Forest,DEF,3.8
Zach Abbott,Zach Abbott,Nott'm Forest,DEF,3.8
Ashley Phillips,Ashley Phillips,Spurs,DEF,4.0
Ben Davies,Ben Davies,Spurs,DEF,4.3
Cristian Romero,Cristian Romero,Spurs,DEF,5.0
Destiny Udogie,Destiny Udogie,Spurs,DEF,4.3
Djed Spence,Djed Spence,Spurs,DEF,4.2
James Rowswell,James Rowswell,Spurs,DEF,4.0
João Victor de Souza Menezes,João Victor de Souza Menezes,Spurs,DEF,4.0
Jun'ai Byfield,Jun'ai Byfield,Spurs,DEF,4.0
Kevin Danso,Kevin Danso,Spurs,DEF,4.2
Luka Vušković,Luka Vušković,Spurs,DEF,3.9
Micky van de Ven,Micky van de Ven,Spurs,DEF,4.5
Pedro Porro Sauceda,Pedro Porro,Spurs,DEF,5.1
Radu Drăgușin,Radu Dragusin,Spurs,DEF,4.5
Takai Kōta,Takai Kōta,Spurs,DEF,4.0
Aji Alese,Aji Alese,Sunderland,DEF,4.0
Arthur Masuaku,Arthur Masuaku,Sunderland,DEF,3.9
Daniel Ballard,Dan Ballard,Sunderland,DEF,4.6
Dennis Cirkin,Dennis Cirkin,Sunderland,DEF,4.0
Jenson Jones,Jenson Jones,Sunderland,DEF,4.0
Jenson Seelt,Jenson Seelt,Sunderland,DEF,4.0
Joe Anderson,Joe Anderson,Sunderland,DEF,3.8
Leo Fuhr Hjelde,Leo Fuhr Hjelde,Sunderland,DEF,4.0
Luke O'Nien,Luke O'Nien,Sunderland,DEF,4.0
Lutsharel Geertruida,Lutsharel Geertruida,Sunderland,DEF,4.5
Niall Huggins,Niall Huggins,Sunderland,DEF,4.0
Nordi Mukiele,Nordi Mukiele,Sunderland,DEF,4.6
Omar Alderete,Omar Alderete,Sunderland,DEF,4.1
Reinildo Mandava,Reinildo Mandava,Sunderland,DEF,3.8
Timothée Pembélé,Timothée Pembélé,Sunderland,DEF,3.9
Trai Hume,Trai Hume,Sunderland,DEF,4.5
Zak Johnson,Zak Johnson,Sunderland,DEF,3.8
Aaron Wan-Bissaka,Aaron Wan-Bissaka,West Ham,DEF,4.1
Airidas Golambeckis,Airidas Golambeckis,West Ham,DEF,4.0
Axel Disasi,Axel Disasi,West Ham,DEF,4.5
El Hadji Malick Diouf,El Hadji Malick Diouf,West Ham,DEF,4.0
Emerson Palmieri dos Santos,Emerson Palmieri dos Santos,West Ham,DEF,4.4
Ezra Mayers,Ezra Mayers,West Ham,DEF,4.0
Jean-Clair Todibo,Jean-Clair Todibo,West Ham,DEF,4.3
Kaelan Casey,Kaelan Casey,West Ham,DEF,4.0
Konstantinos Mavropanos,Konstantinos Mavropanos,West Ham,DEF,4.4
Kyle Walker-Peters,Kyle Walker-Peters,West Ham,DEF,4.2
Maximilian Kilman,Maximilian Kilman,West Ham,DEF,4.2
Nayef Aguerd,Nayef Aguerd,West Ham,DEF,4.4
Ollie Scarles,Ollie Scarles,West Ham,DEF,4.3
Alfie Pond,Alfie Pond,Wolves,DEF,3.9
Bastien Meupiyou Menadjou,Bastien Meupiyou Menadjou,Wolves,DEF,4.0
David Møller Wolfe,David Moller Wolfe,Wolves,DEF,4.2
Emmanuel Agbadou,Emmanuel Agbadou,Wolves,DEF,4.2
Hugo Bueno López,Hugo Bueno López,Wolves,DEF,4.3
Jackson Tchatchoua,Jackson Tchatchoua,Wolves,DEF,4.4
Ki-Jana Hoever,Ki-Jana Hoever,Wolves,DEF,3.8
Ladislav Krejcí,Ladislav Krejci,Wolves,DEF,4.5
Matt Doherty,Matt Doherty,Wolves,DEF,4.4
Pedro Cardoso de Lima,Pedro Cardoso de Lima,Wolves,DEF,4.0
Rodrigo Martins Gomes,Rodrigo Gomes,Wolves,DEF,4.4
Saheed Olagunju,Saheed Olagunju,Wolves,DEF,4.0
Santiago Ignacio Bueno,Santiago Bueno,Wolves,DEF,4.4
Toti Gomes,Toti Gomes,Wolves,DEF,4.2
Yerson Mosquera Valdelamar,Yerson Mosquera,Wolves,DEF,4.3
Gabriel Fernando de Jesus,Gabriel Jesus,Arsenal,FWD,6.4
Kai Havertz,Kai Havertz,Arsenal,FWD,7.3
Viktor Gyökeres,Viktor Gyokeres,Arsenal,FWD,8.8
Ollie Watkins,Ollie Watkins,Aston Villa,FWD,8.6
Tammy Abraham,Tammy Abraham,Aston Villa,FWD,6.0
Zépiqueno Redmond,Zépiqueno Redmond,Aston Villa,FWD,4.5
Daniel Adu-Adjei,Daniel Adu-Adjei,Bournemouth,FWD,4.4
Enes Ünal,Enes Ünal,Bournemouth,FWD,5.4
Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,FWD,6.9
Junior Kroupi,Junior Kroupi,Bournemouth,FWD,4.7
Igor Thiago Nascimento Rodrigues,Igor Thiago,Brentford,FWD,7.0
Iwan Morgan,Iwan Morgan,Brentford,FWD,4.4
Kaye Furo,Kaye Furo,Brentford,FWD,4.5
Charalampos Kostoulas,Charalampos Kostoulas,Brighton,FWD,4.8
Danny Welbeck,Danny Welbeck,Brighton,FWD,6.2
Evan Ferguson,Evan Ferguson,Brighton,FWD,5.5
Stefanos Tzimas,Stefanos Tzimas,Brighton,FWD,5.2
Armando Broja,Armando Broja,Burnley,FWD,5.2
Ashley Barnes,Ashley Barnes,Burnley,FWD,4.2
Lyle Foster,Lyle Foster,Burnley,FWD,4.9
Michael Obafemi,Michael Obafemi,Burnley,FWD,4.4
Zeki Amdouni,Zeki Amdouni,Burnley,FWD,4.8
Zian Flemming,Zian Flemming,Burnley,FWD,5.3
João Pedro Junqueira de Jesus,Joao Pedro,Chelsea,FWD,7.7
Liam Delap,Liam Delap,Chelsea,FWD,6.2
Marc Guiu Paz,Marc Guiu,Chelsea,FWD,4.2
Nicolas Jackson,Nicolas Jackson,Chelsea,FWD,6.5
Ben Casey,Ben Casey,Crystal Palace,FWD,4.5
Christantus Uche,Christantus Uche,Crystal Palace,FWD,5.5
Eddie Nketiah,Eddie Nketiah,Crystal Palace,FWD,5.4
Jean-Philippe Mateta,Jean-Philippe Mateta,Crystal Palace,FWD,7.5
Jørgen Strand Larsen,Jorgen Strand Larsen,Crystal Palace,FWD,6.1
Odsonne Édouard,Odsonne Édouard,Crystal Palace,FWD,5.0
Zach Marsh,Zach Marsh,Crystal Palace,FWD,4.4
Norberto Bercique Gomes Betuncal,Beto,Everton,FWD,5.0
Braiden Graham,Braiden Graham,Everton,FWD,4.5
Martin Sherif,Martin Sherif,Everton,FWD,4.4
Thierno Barry,Thierno Barry,Everton,FWD,5.7
Youssef Ramalho Chermiti,Youssef Ramalho Chermiti,Everton,FWD,4.9
Jonah Kusi-Asare,Jonah Kusi-Asare,Fulham,FWD,4.5
Raúl Jiménez Rodríguez,Raul Jimenez,Fulham,FWD,6.2
Rodrigo Muniz Carvalho,Rodrigo Muniz,Fulham,FWD,5.3
Dominic Calvert-Lewin,Dominic Calvert-Lewin,Leeds,FWD,5.8
Harry Gray,Harry Gray,Leeds,FWD,4.5
Joël Piroe,Joel Piroe,Leeds,FWD,4.9
Lukas Nmecha,Lukas Nmecha,Leeds,FWD,5.0
Mateo Joseph Fernández-Regatillo,Mateo Joseph Fernández-Regatillo,Leeds,FWD,5.0
Patrick Bamford,Patrick Bamford,Leeds,FWD,4.9
Alexander Isak,Alexander Isak,Liverpool,FWD,10.3
Darwin Núñez Ribeiro,Darwin Núñez Ribeiro,Liverpool,FWD,6.5
Hugo Ekitiké,Hugo Ekitike,Liverpool,FWD,8.9
Jayden Danns,Jayden Danns,Liverpool,FWD,4.3
Erling Haaland,Erling Haaland,Man City,FWD,14.8
Benjamin Sesko,Benjamin Sesko,Man Utd,FWD,7.2
Chido Obi,Chido Obi,Man Utd,FWD,4.2
Ethan Wheatley,Ethan Wheatley,Man Utd,FWD,4.5
Joshua Zirkzee,Joshua Zirkzee,Man Utd,FWD,5.8
Rasmus Højlund,Rasmus Højlund,Man Utd,FWD,6.3
Nick Woltemade,Nick Woltemade,Newcastle,FWD,6.9
Sean Neave,Sean Neave,Newcastle,FWD,4.3
William Osula,William Osula,Newcastle,FWD,5.4
Yoane Wissa,Yoane Wissa,Newcastle,FWD,7.3
Arnaud Kalimuendo,Arnaud Kalimuendo,Nott'm Forest,FWD,6.0
Chris Wood,Chris Wood,Nott'm Forest,FWD,7.2
Igor Jesus Maciel da Cruz,Igor Jesus,Nott'm Forest,FWD,5.8
Lorenzo Lucca,Lorenzo Lucca,Nott'm Forest,FWD,5.5
Taiwo Awoniyi,Taiwo Awoniyi,Nott'm Forest,FWD,5.2
Dane Scarlett,Dane Scarlett,Spurs,FWD,4.3
Dominic Solanke-Mitchell,Dominic Solanke,Spurs,FWD,7.2
Randal Kolo Muani,Randal Kolo Muani,Spurs,FWD,6.9
Richarlison de Andrade,Richarlison,Spurs,FWD,6.3
Will Lankshear,Will Lankshear,Spurs,FWD,4.5
Ahmed Abdullahi,Ahmed Abdullahi,Sunderland,FWD,4.2
Brian Brobbey,Brian Brobbey,Sunderland,FWD,5.5
Eliezer Mayenda Dossou,Eliezer Mayenda,Sunderland,FWD,5.2
Luís Hemir Silva Semedo,Luís Hemir Silva Semedo,Sunderland,FWD,4.4
Nazarii Rusyn,Nazarii Rusyn,Sunderland,FWD,4.4
Wilson Isidor,Wilson Isidor,Sunderland,FWD,5.1
Callum Marshall,Callum Marshall,West Ham,FWD,4.3
Callum Wilson,Callum Wilson,West Ham,FWD,5.8
Jarrod Bowen,Jarrod Bowen,West Ham,FWD,7.6
Niclas Füllkrug,Niclas Fullkrug,West Ham,FWD,5.6
Pablo Felipe Pereira de Jesus,Pablo,West Ham,FWD,5.5
Valentín Castellanos,Taty Castellanos,West Ham,FWD,5.5
Adam Armstrong,Adam Armstrong,Wolves,FWD,5.5
Fábio Soares Silva,Fábio Soares Silva,Wolves,FWD,4.9
Leon Chiwome,Leon Chiwome,Wolves,FWD,4.4
Mateus Mané,Mateus Mane,Wolves,FWD,4.6
Nathan Fraser,Nathan Fraser,Wolves,FWD,4.2
Saša Kalajdžić,Saša Kalajdžić,Wolves,FWD,4.9
Tolu Arokodare,Tolu Arokodare,Wolves,FWD,5.4
David Raya Martín,David Raya,Arsenal,GK,6.0
Karl Hein,Karl Hein,Arsenal,GK,4.0
Kepa Arrizabalaga Revuelta,Kepa Arrizabalaga,Arsenal,GK,4.1
Tommy Setford,Tommy Setford,Arsenal,GK,3.9
Emiliano Martínez Romero,Emiliano Martinez,Aston Villa,GK,5.0
Filip Marschall,Filip Marschall,Aston Villa,GK,4.0
James Wright,James Wright,Aston Villa,GK,3.9
Joe Gauci,Joe Gauci,Aston Villa,GK,4.0
Marco Bizot,Marco Bizot,Aston Villa,GK,4.2
