Season,Gameweek,Source,Team,Player
2026-2027,1,AllAboutFPL,Coventry City,Carl Rushworth
2026-2027,1,AllAboutFPL,Coventry City,Milan van Ewijk
2026-2027,1,AllAboutFPL,Coventry City,Aurèle Amenda
2026-2027,1,AllAboutFPL,Coventry City,Bobby Thomas
2026-2027,1,AllAboutFPL,Coventry City,Jay Dasilva
2026-2027,1,AllAboutFPL,Coventry City,Matt Grimes
2026-2027,1,AllAboutFPL,Coventry City,Frank Onyeka
2026-2027,1,AllAboutFPL,Coventry City,Loum Tchaouna
2026-2027,1,AllAboutFPL,Coventry City,Caleb Yirenkyi
2026-2027,1,AllAboutFPL,Coventry City,Brandon Thomas-Asante
2026-2027,1,AllAboutFPL,Coventry City,Ellis Simms
2026-2027,1,AllAboutFPL,Crystal Palace,Dean Henderson
2026-2027,1,AllAboutFPL,Crystal Palace,Chris Richards
2026-2027,1,AllAboutFPL,Crystal Palace,Jaydee Canvot
2026-2027,1,AllAboutFPL,Crystal Palace,Chadi Riad
2026-2027,1,AllAboutFPL,Crystal Palace,Oscar Mingueza
2026-2027,1,AllAboutFPL,Crystal Palace,Adam Wharton
2026-2027,1,AllAboutFPL,Crystal Palace,Daichi Kamada
2026-2027,1,AllAboutFPL,Crystal Palace,Tyrick Mitchell
2026-2027,1,AllAboutFPL,Crystal Palace,Ismaila Sarr
2026-2027,1,AllAboutFPL,Crystal Palace,Jorgen Strand Larsen
2026-2027,1,AllAboutFPL,Crystal Palace,Dwight McNeil
2026-2027,1,AllAboutFPL,Everton,Jordan Pickford
2026-2027,1,AllAboutFPL,Everton,Jake O'Brien
2026-2027,1,AllAboutFPL,Everton,James Tarkowski
2026-2027,1,AllAboutFPL,Everton,Jarrad Branthwaite
2026-2027,1,AllAboutFPL,Everton,Vitalii Mykolenko
2026-2027,1,AllAboutFPL,Everton,Hayden Hackney
2026-2027,1,AllAboutFPL,Everton,Harrison Armstrong
2026-2027,1,AllAboutFPL,Everton,Iliman Ndiaye
2026-2027,1,AllAboutFPL,Everton,Kiernan Dewsbury-Hall
2026-2027,1,AllAboutFPL,Everton,Tyrique George
2026-2027,1,AllAboutFPL,Everton,Thierno Barry
2026-2027,1,AllAboutFPL,Fulham,Bernd Leno
2026-2027,1,AllAboutFPL,Fulham,Timothy Castagne
2026-2027,1,AllAboutFPL,Fulham,Jorge Cuenca
2026-2027,1,AllAboutFPL,Fulham,Calvin Bassey
2026-2027,1,AllAboutFPL,Fulham,Antonee Robinson
2026-2027,1,AllAboutFPL,Fulham,Sander Berge
2026-2027,1,AllAboutFPL,Fulham,Alex Iwobi
2026-2027,1,AllAboutFPL,Fulham,Oscar Bobb
2026-2027,1,AllAboutFPL,Fulham,Josh King
2026-2027,1,AllAboutFPL,Fulham,César Palacios
2026-2027,1,AllAboutFPL,Fulham,Gonzalo García
2026-2027,1,AllAboutFPL,Hull City,Konstantinos Tzolakis
2026-2027,1,AllAboutFPL,Hull City,Lewie Coyle
2026-2027,1,AllAboutFPL,Hull City,Semi Ajayi
2026-2027,1,AllAboutFPL,Hull City,John Egan
2026-2027,1,AllAboutFPL,Hull City,Ryan Giles
2026-2027,1,AllAboutFPL,Hull City,Elliot Stroud
2026-2027,1,AllAboutFPL,Hull City,Regan Slater
2026-2027,1,AllAboutFPL,Hull City,Jens Hjertø-Dahl
2026-2027,1,AllAboutFPL,Hull City,Mohamed Belloumi
2026-2027,1,AllAboutFPL,Hull City,Oli McBurnie
