Season,Gameweek,Source,Team,Player
2026-2027,1,FFS,Bournemouth,Marcus Tavernier
2026-2027,1,FFS,Bournemouth,Evanilson
2026-2027,1,FFS,Brentford,Caoimhin Kelleher
2026-2027,1,FFS,Brentford,Michael Kayode
2026-2027,1,FFS,Brentford,Kristoffer Ajer
2026-2027,1,FFS,Brentford,Nathan Collins
2026-2027,1,FFS,Brentford,Keane Lewis-Potter
2026-2027,1,FFS,Brentford,Mamadou Sangaré
2026-2027,1,FFS,Brentford,Vitaly Janelt
2026-2027,1,FFS,Brentford,Dango Ouattara
2026-2027,1,FFS,Brentford,Mathias Jensen
2026-2027,1,FFS,Brentford,Kevin Schade
2026-2027,1,FFS,Brentford,Igor Thiago
2026-2027,1,FFS,Brighton,Bart Verbruggen
2026-2027,1,FFS,Brighton,Mats Wieffer
2026-2027,1,FFS,Brighton,Luka Vušković
2026-2027,1,FFS,Brighton,Olivier Boscagli
2026-2027,1,FFS,Brighton,Ferdi Kadioglu
2026-2027,1,FFS,Brighton,Yasin Ayari
2026-2027,1,FFS,Brighton,Pascal Gross
2026-2027,1,FFS,Brighton,Diego Gomez
2026-2027,1,FFS,Brighton,Jack Hinshelwood
2026-2027,1,FFS,Brighton,Maxim De Cuyper
2026-2027,1,FFS,Brighton,Georginio Rutter
2026-2027,1,FFS,Chelsea,Robert Sanchez
2026-2027,1,FFS,Chelsea,Reece James
2026-2027,1,FFS,Chelsea,Maxence Lacroix
2026-2027,1,FFS,Chelsea,Levi Samuels Colwill
2026-2027,1,FFS,Chelsea,Pedro Neto
2026-2027,1,FFS,Chelsea,Roméo Lavia
2026-2027,1,FFS,Chelsea,Moises Caicedo
2026-2027,1,FFS,Chelsea,Marco Palestra
2026-2027,1,FFS,Chelsea,Cole Palmer
2026-2027,1,FFS,Chelsea,Joao Pedro
2026-2027,1,FFS,Chelsea,Morgan Rogers
2026-2027,1,FFS,Coventry City,Carl Rushworth
2026-2027,1,FFS,Coventry City,Milan van Ewijk
2026-2027,1,FFS,Coventry City,Bobby Thomas
2026-2027,1,FFS,Coventry City,Aurèle Amenda
2026-2027,1,FFS,Coventry City,Jay Dasilva
2026-2027,1,FFS,Coventry City,Caleb Yirenkyi
2026-2027,1,FFS,Coventry City,Matt Grimes
2026-2027,1,FFS,Coventry City,Frank Onyeka
2026-2027,1,FFS,Coventry City,Loum Tchaouna
2026-2027,1,FFS,Coventry City,Ellis Simms
2026-2027,1,FFS,Coventry City,Brandon Thomas-Asante
2026-2027,1,FFS,Crystal Palace,Dean Henderson
2026-2027,1,FFS,Crystal Palace,Jaydee Canvot
2026-2027,1,FFS,Crystal Palace,Chris Richards
2026-2027,1,FFS,Crystal Palace,Chadi Riad
2026-2027,1,FFS,Crystal Palace,Oscar Mingueza
2026-2027,1,FFS,Crystal Palace,Daichi Kamada
2026-2027,1,FFS,Crystal Palace,Adam Wharton
2026-2027,1,FFS,Crystal Palace,Tyrick Mitchell
2026-2027,1,FFS,Crystal Palace,Ismaila Sarr
2026-2027,1,FFS,Crystal Palace,Dwight McNeil
2026-2027,1,FFS,Crystal Palace,Jorgen Strand Larsen
2026-2027,1,FFS,Everton,Jordan Pickford
2026-2027,1,FFS,Everton,Jake O'Brien
2026-2027,1,FFS,Everton,James Tarkowski
2026-2027,1,FFS,Everton,Jarrad Branthwaite
2026-2027,1,FFS,Everton,Vitalii Mykolenko
2026-2027,1,FFS,Everton,Hayden Hackney
2026-2027,1,FFS,Everton,Harrison Armstrong
2026-2027,1,FFS,Everton,Merlin Röhl
2026-2027,1,FFS,Everton,Kiernan Dewsbury-Hall
2026-2027,1,FFS,Everton,Iliman Ndiaye
2026-2027,1,FFS,Everton,Thierno Barry
2026-2027,1,FFS,Fulham,Bernd Leno
2026-2027,1,FFS,Fulham,Timothy Castagne
2026-2027,1,FFS,Fulham,Jorge Cuenca
2026-2027,1,FFS,Fulham,Calvin Bassey
2026-2027,1,FFS,Fulham,Antonee Robinson
2026-2027,1,FFS,Fulham,Sander Berge
2026-2027,1,FFS,Fulham,Alex Iwobi
2026-2027,1,FFS,Fulham,Oscar Bobb
2026-2027,1,FFS,Fulham,Josh King
2026-2027,1,FFS,Fulham,César Palacios
2026-2027,1,FFS,Fulham,Gonzalo García
2026-2027,1,FFS,Hull City,Konstantinos Tzolakis
2026-2027,1,FFS,Hull City,Lewie Coyle
2026-2027,1,FFS,Hull City,Semi Ajayi
2026-2027,1,FFS,Hull City,Nobel Mendy
2026-2027,1,FFS,Hull City,Ryan Giles
2026-2027,1,FFS,Hull City,Regan Slater
2026-2027,1,FFS,Hull City,Matt Crooks
2026-2027,1,FFS,Hull City,Mohamed Belloumi
2026-2027,1,FFS,Hull City,Jens Hjertø-Dahl
2026-2027,1,FFS,Hull City,Elliot Stroud
2026-2027,1,FFS,Hull City,Oli McBurnie
2026-2027,1,FFS,Ipswich Town,Kjell Scherpen
2026-2027,1,FFS,Ipswich Town,Dara O'Shea
2026-2027,1,FFS,Ipswich Town,Issa Diop
2026-2027,1,FFS,Ipswich Town,Jacob Greaves
2026-2027,1,FFS,Ipswich Town,Leif Davis
2026-2027,1,FFS,Ipswich Town,Marcelino Núñez
2026-2027,1,FFS,Ipswich Town,Sasa Lukic
2026-2027,1,FFS,Ipswich Town,Abdul Fatawu
2026-2027,1,FFS,Ipswich Town,Sindre Walle Egeli
2026-2027,1,FFS,Ipswich Town,Daizen Maeda
2026-2027,1,FFS,Ipswich Town,Emersonn Correia da Silva
2026-2027,1,FFS,Leeds,James Trafford
2026-2027,1,FFS,Leeds,Joe Rodon
2026-2027,1,FFS,Leeds,Jaka Bijol
2026-2027,1,FFS,Leeds,Tarik Muharemović
2026-2027,1,FFS,Leeds,Jayden Bogle
2026-2027,1,FFS,Leeds,Ethan Ampadu
2026-2027,1,FFS,Leeds,Anton Stach
2026-2027,1,FFS,Leeds,James Justin
2026-2027,1,FFS,Leeds,Harry Wilson
2026-2027,1,FFS,Leeds,Dominic Calvert-Lewin
2026-2027,1,FFS,Leeds,Brenden Aaronson
2026-2027,1,FFS,Liverpool,Alisson Becker
2026-2027,1,FFS,Liverpool,Jeremie Frimpong
2026-2027,1,FFS,Liverpool,Jeremy Jacquet
2026-2027,1,FFS,Liverpool,Virgil van Dijk
2026-2027,1,FFS,Liverpool,Milos Kerkez
2026-2027,1,FFS,Liverpool,Ryan Gravenberch
2026-2027,1,FFS,Liverpool,Dominik Szoboszlai
2026-2027,1,FFS,Liverpool,Rio Ngumoha
2026-2027,1,FFS,Liverpool,Florian Wirtz
2026-2027,1,FFS,Liverpool,Cody Gakpo
2026-2027,1,FFS,Liverpool,Alexander Isak
2026-2027,1,FFS,Man City,Gianluigi Donnarumma
2026-2027,1,FFS,Man City,Abduqodir Khusanov
2026-2027,1,FFS,Man City,Ruben Dias
2026-2027,1,FFS,Man City,Josko Gvardiol
2026-2027,1,FFS,Man City,Nico O'Reilly
2026-2027,1,FFS,Man City,Elliot Anderson
2026-2027,1,FFS,Man City,Mateo Kovačić
2026-2027,1,FFS,Man City,Antoine Semenyo
2026-2027,1,FFS,Man City,Phil Foden
2026-2027,1,FFS,Man City,Jeremy Doku
2026-2027,1,FFS,Man City,Erling Haaland
2026-2027,1,FFS,Man Utd,Senne Lammens
2026-2027,1,FFS,Man Utd,Diogo Dalot
2026-2027,1,FFS,Man Utd,Harry Maguire
2026-2027,1,FFS,Man Utd,Ayden Heaven
2026-2027,1,FFS,Man Utd,Luke Shaw
2026-2027,1,FFS,Man Utd,Youri Tielemans
2026-2027,1,FFS,Man Utd,Andrey Santos
2026-2027,1,FFS,Man Utd,Amad Diallo
2026-2027,1,FFS,Man Utd,Bruno Fernandes
2026-2027,1,FFS,Man Utd,Patrick Dorgu
2026-2027,1,FFS,Man Utd,Bryan Mbeumo
2026-2027,1,FFS,Newcastle,Lukás Hornícek
2026-2027,1,FFS,Newcastle,Amar Dedic
2026-2027,1,FFS,Newcastle,Malick Thiaw
2026-2027,1,FFS,Newcastle,Sven Botman
2026-2027,1,FFS,Newcastle,Lewis Hall
2026-2027,1,FFS,Newcastle,Jacob Ramsey
2026-2027,1,FFS,Newcastle,Aladji Bamba
2026-2027,1,FFS,Newcastle,Anthony Elanga
2026-2027,1,FFS,Newcastle,Yoane Wissa
2026-2027,1,FFS,Newcastle,Harvey Barnes
2026-2027,1,FFS,Newcastle,William Osula
2026-2027,1,FFS,Nott'm Forest,Matz Sels
2026-2027,1,FFS,Nott'm Forest,Ousmane Diomande
2026-2027,1,FFS,Nott'm Forest,Nikola Milenkovic
2026-2027,1,FFS,Nott'm Forest,Murillo dos Santos
2026-2027,1,FFS,Nott'm Forest,Ola Aina
2026-2027,1,FFS,Nott'm Forest,Xaver Schlager
2026-2027,1,FFS,Nott'm Forest,Ibrahim Sangare
2026-2027,1,FFS,Nott'm Forest,Neco Williams
2026-2027,1,FFS,Nott'm Forest,Dan Ndoye
2026-2027,1,FFS,Nott'm Forest,Morgan Gibbs-White
2026-2027,1,FFS,Nott'm Forest,Igor Jesus
2026-2027,1,FFS,Spurs,Antonín Kinský
2026-2027,1,FFS,Spurs,Archie Gray
2026-2027,1,FFS,Spurs,Jan Paul van Hecke
2026-2027,1,FFS,Spurs,Marcos Senesi
2026-2027,1,FFS,Spurs,Andrew Robertson
2026-2027,1,FFS,Spurs,Sandro Tonali
2026-2027,1,FFS,Spurs,Mateus Fernandes
2026-2027,1,FFS,Spurs,Mikey Moore
2026-2027,1,FFS,Spurs,Conor Gallagher
2026-2027,1,FFS,Spurs,Mathys Tel
2026-2027,1,FFS,Spurs,Richarlison
2026-2027,1,FFS,Sunderland,Robin Roefs
2026-2027,1,FFS,Sunderland,Thomas Meunier
2026-2027,1,FFS,Sunderland,Luke O'Nien
2026-2027,1,FFS,Sunderland,Dan Ballard
2026-2027,1,FFS,Sunderland,Reinildo Mandava
2026-2027,1,FFS,Sunderland,Granit Xhaka
2026-2027,1,FFS,Sunderland,Noah Sadiki
2026-2027,1,FFS,Sunderland,Trai Hume
2026-2027,1,FFS,Sunderland,Enzo Le Fee
2026-2027,1,FFS,Sunderland,Nilson Angulo
2026-2027,1,FFS,Sunderland,Brian Brobbey
