Season,home_team,away_team,home_win_odds,away_win_odds,home_title_odds,away_title_odds,home_relegation_odds,away_relegation_odds,home_top_6_odds,away_top_6_odds,Gameweek,draw_odds,home_clean_sheet_odds,home_over_1.5_odds,home_over_3.5_odds,away_clean_sheet_odds,away_over_1.5_odds,away_over_3.5_odds
2025-2026,Wolves,Newcastle,4.6,1.72,2401.0,777.1904761904761,1.019047619047619,191.4347826086957,677.6666666666666,3.28235294117647,,,,,,,,
2025-2026,Aston Villa,Everton,1.75,4.6,28.27272727272727,1114.636363636364,480.7727272727273,68.1304347826087,1.064117647058824,7.647058823529412,,,,,,,,
2025-2026,Brighton,Bournemouth,1.86,3.8,855.7619047619048,1182.818181818182,135.75,20.41666666666667,6.5,19.29411764705882,,,,,,,,
2025-2026,Man Utd,Man City,3.6,1.95,535.7826086956521,4.724166666666666,224.4545454545455,411.2272727272727,2.251304347826087,1.013,,,,,,,,
2025-2026,Leeds,Fulham,2.1,3.5,1392.304347826087,1001.0,8.354166666666666,122.6521739130435,70.78260869565217,6.978260869565218,,,,,,,,
2025-2026,Spurs,West Ham,1.7,4.75,1087.95652173913,2048.619047619048,73.69565217391305,1.16875,11.30434782608696,564.6363636363636,,,,,,,,
2025-2026,Liverpool,Burnley,1.2,13.0,100.8333333333333,2273.727272727273,411.2272727272727,1.02625,1.087391304347826,671.4545454545455,,,,,,,,
2025-2026,Sunderland,Crystal Palace,2.37,3.1,924.9130434782608,961.8695652173913,48.83333333333334,84.30434782608695,16.34782608695652,12.56521739130435,,,,,,,,
2025-2026,Chelsea,Brentford,1.8,4.2,371.8333333333333,788.5,374.9130434782609,175.5217391304348,1.503913043478261,4.679565217391303,,,,,,,,
2025-2026,Nott'm Forest,Arsenal,6.5,1.53,1387.363636363636,1.229583333333333,8.333333333333334,1166.0,99.91304347826087,1.0,,,,,,,,
2025-2026,Wolves,Newcastle,4.4,1.75,2546.454545454545,701.0,1.015714285714286,253.2727272727273,729.125,2.033913043478261,,,,,,,,
2025-2026,Aston Villa,Everton,1.66,5.0,27.625,1146.833333333333,623.2222222222222,59.78260869565217,1.04304347826087,17.17391304347826,,,,,,,,
2025-2026,Brighton,Bournemouth,1.86,3.8,881.4347826086956,1209.333333333333,155.9565217391304,27.79166666666667,5.1,25.52173913043478,,,,,,,,
2025-2026,West Ham,Sunderland,2.45,2.9,2048.619047619048,924.9130434782608,1.16875,48.83333333333334,564.6363636363636,16.34782608695652,,,,,,,,
2025-2026,Fulham,Brighton,2.55,2.75,1001.0,881.4347826086956,122.6521739130435,155.9565217391304,6.978260869565218,5.1,,,,,,,,
2025-2026,Man City,Wolves,1.15,16.0,4.72416666666667,2546.454545454545,411.2272727272727,1.015714285714286,1.013,729.125,,,,,,,,
2025-2026,Burnley,Spurs,4.2,1.86,2273.727272727273,1087.95652173913,1.02625,73.69565217391305,671.4545454545455,11.30434782608696,,,,,,,,
2025-2026,Bournemouth,Liverpool,3.75,1.86,1209.333333333333,100.8333333333333,27.79166666666667,411.2272727272727,25.52173913043478,1.087391304347826,,,,,,,,
2025-2026,Brentford,Nott'm Forest,2.1,3.5,788.5,1387.363636363636,175.5217391304348,8.333333333333334,4.679565217391303,99.91304347826087,,,,,,,,
2025-2026,Crystal Palace,Chelsea,3.4,2.1,961.8695652173913,371.8333333333333,84.30434782608695,374.9130434782609,12.56521739130435,1.503913043478261,,,,,,,,
2025-2026,Newcastle,Aston Villa,2.05,3.4,701.0,27.625,253.2727272727273,623.2222222222222,2.033913043478261,1.04304347826087,,,,,,,,
2025-2026,Arsenal,Man Utd,1.44,7.0,1.229583333333333,535.7826086956521,1166.0,224.4545454545455,1.0,2.251304347826087,,,,,,,,
2025-2026,Everton,Leeds,2.45,3.0,1146.833333333333,1392.304347826087,59.78260869565217,8.354166666666666,17.17391304347826,70.78260869565217,,,,,,,,
2025-2026,West Ham,Sunderland,2.45,2.9,2201.0,919.181818181818,1.278333333333333,88.91304347826087,627.1904761904761,11.08695652173913,,,,,,,,
2025-2026,Fulham,Brighton,2.55,2.7,1131.434782608696,910.0909090909092,75.95652173913044,158.6521739130435,10.02173913043478,5.391304347826087,,,,,,,,
2025-2026,Man City,Wolves,1.22,11.0,5.458333333333333,2643.857142857143,411.2272727272727,1.015238095238095,1.013,690.2857142857143,,,,,,,,
2025-2026,Burnley,Spurs,3.6,2.05,2405.761904761905,1114.636363636364,1.02375,28.33333333333333,755.7619047619048,21.30434782608696,,,,,,,,
2025-2026,Bournemouth,Liverpool,3.9,1.85,1218.391304347826,120.5833333333333,23.75,411.2272727272727,27.43478260869565,1.110869565217391,,,,,,,,
2025-2026,Brentford,Nott'm Forest,1.85,4.33,946.6521739130436,1405.761904761905,181.0,6.583333333333333,5.041304347826087,111.4347826086957,,,,,,,,
2025-2026,Crystal Palace,Chelsea,3.6,2.0,1096.454545454545,244.75,25.29166666666667,402.0869565217391,23.1304347826087,1.417391304347826,,,,,,,,
2025-2026,Newcastle,Aston Villa,2.0,3.6,839.6363636363636,40.0,260.0909090909091,639.8888888888889,2.313913043478261,1.062173913043478,,,,,,,,
2025-2026,Arsenal,Man Utd,1.55,6.0,1.182083333333333,158.2916666666667,1216.0,262.3636363636364,1.0,1.59,,,,,,,,
2025-2026,Everton,Leeds,2.5,3.0,1109.695652173913,1296.454545454545,88.1304347826087,10.41666666666667,10.26086956521739,43.21739130434783,,,,,,,,
