type,name,name_cleaned
team,Manchester Utd,Man Utd
team,Manchester City,Man City
team,Arsenal FC,Arsenal
team,Everton FC,Everton
team,Brentford FC,Brentford
team,Fulham FC,Fulham
team,Chelsea FC,Chelsea
team,Liverpool FC,Liverpool
team,Sunderland AFC,Sunderland
team,Manchester United,Man Utd
team,Tottenham Hotspur,Spurs
team,Newcastle United,Newcastle
team,Leeds United,Leeds
team,Brighton & Hove Albion,Brighton
team,AFC Bournemouth,Bournemouth
player,Aurele Amenda,Aurèle Amenda
player,Kaine Hayden,Kaine Kesler-Hayden
player,Matty Jacobs,Matty Jacob
player,Ephron Jardell Mason-Clark,Ephron Mason-Clark
player,Jesuran Rak-Sakyi,Jesurun Rak-Sakyi
player,Merlin Rohl,Merlin Röhl
player,Ellis Reco Simms,Ellis Simms
player,Milan Van Ewijk,Milan van Ewijk
player,Ali Alhamadi,Ali Al-Hamadi
player,Alvaro Rodriguez,Álvaro Rodríguez
player,Andy Robertson,Andrew Robertson
player,Bazoumana Toure,Bazoumana Touré
player,Cedric Kipre,Cédric Kipré
player,Cesar Palacios,César Palacios
player,Dario Essugo,Dário Luís Essugo
player,Emanuel Emegha,Emmanuel Emegha
player,Florentino Luis,Florentino
player,Gonzalo Garcia,Gonzalo García
player,Jan-Paul Van Hecke,Jan Paul van Hecke
player,Jocelin Ta Bi,Djiamgone Jocelin Ta Bi
player,Jonah Kusi Asare,Jonah Kusi-Asare
player,Josh Da Silva,Josh Dasilva
player,Josh-Ko Acheampong,Josh Acheampong
player,Levi Colwill,Levi Samuels Colwill
player,Luka Vuskovic,Luka Vušković
player,Mamadou Sangare,Mamadou Sangaré
player,Marcelino Nunez,Marcelino Núñez
player,Mateo Kovacic,Mateo Kovačić
player,Micky Van De Ven,Micky van de Ven
player,Pep Chavarria,Pep Chavarría
player,Romeo Lavia,Roméo Lavia
player,Tarik Muharemovic,Tarik Muharemović
player,Treymaurice Nyoni,Trey Nyoni
player,Valentin Barco,Valentín Barco
player,Virgil Van Dijk,Virgil van Dijk
player,Antonio Silva,António João Pereira de Albuquerque Tavares da Silva
player,Emersonn Da Silva,Emersonn Correia da Silva
player,Jens Hjerto-Dahl,Jens Hjertø-Dahl
player,Nicolas Gonzalez,Nico Gonzalez
player,Alysson,Alysson Edward Franco da Rocha dos Santos
player,Jair Cunha,Jair Paula da Cunha Filho
player,Julio Soler,Julio Soler Barreto
player,Miguel Angel Brau Blanquez,Miguel Brau
player,Wataru Endo,Endo Wataru
player,Souza,Joao Souza
player,Abdulkadir Omur,Abdülkadir Ömür
player,Juanlu,Juanlu Sánchez
player,Kim Ji-Soo,Kim Ji-soo
player,Matheus Franca,Matheus França de Oliveira
player,Alex Toth,Alex Tóth
player,Vitor Reis,Vitor de Oliveira Nunes dos Reis
