Team,Gameweek,Opponent,Win,Opponent Win,Diff,Venue,F1 Score 1+,F1 Assist,F1 Yellow Card,F1 Clean Sheet,F1 Concede 2+ Goals,F1 Concede 4+ Goals,F1 3+ Saves,F1 6+ Saves
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,0.432900433,0.146520147,0.146520147,0.25,0.422572178,0.064254523,#N/A,#N/A
Aston Villa,GW1,Newcastle,0.40,0.33,0.08,H,#N/A,#N/A,#N/A,0.25,0.422572178,0.064254523,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,0.086580087,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,0.158730159,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.041407867,0.056022409,0.264550265,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.036630037,0.032840722,0.219949412,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.041407867,0.041407867,0.238095238,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.056022409,0.018674136,0.264550265,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.056022409,0.063492063,0.297619048,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.056022409,0.028011204,0.297619048,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.056022409,0.032840722,0.297619048,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.036630037,0.041407867,0.200501253,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.036630037,0.041407867,0.297619048,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.158730159,0.086580087,0.146520147,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.211640212,0.086580087,0.200501253,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.063492063,0.063492063,0.297619048,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.158730159,0.063492063,0.200501253,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.100250627,0.086580087,0.346320346,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.126984127,0.086580087,0.158730159,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.095238095,0.086580087,0.264550265,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.126984127,0.063492063,0.158730159,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.100250627,0.063492063,0.238095238,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,0.126984127,0.063492063,0.238095238,0.135802469,0.625,0.188311688,#N/A,#N/A
Burnley,GW1,Spurs,0.15,0.62,-0.47,A,#N/A,#N/A,#N/A,0.135802469,0.625,0.188311688,#N/A,#N/A
